"movie","type","word","minutes_in"
"Reservoir Dogs","word","word_19",0.4
"Reservoir Dogs","word","word_21",0.43
"Reservoir Dogs","word","word_25",0.55
"Reservoir Dogs","word","word_30",0.61
"Reservoir Dogs","word","word_11",0.61
"Reservoir Dogs","word","word_24",0.66
"Reservoir Dogs","word","word_51",0.9
"Reservoir Dogs","word","word_24",1.43
"Reservoir Dogs","word","word_21",1.56
"Reservoir Dogs","word","word_24",1.66
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_19",1.75
"Reservoir Dogs","word","word_21",1.75
"Reservoir Dogs","word","word_45",1.83
"Reservoir Dogs","word","word_19",1.96
"Reservoir Dogs","word","word_50",2.15
"Reservoir Dogs","word","word_31",2.18
"Reservoir Dogs","word","word_24",2.3
"Reservoir Dogs","word","word_30",2.45
"Reservoir Dogs","word","word_37",2.48
"Reservoir Dogs","word","word_30",2.51
"Reservoir Dogs","word","word_30",2.81
"Reservoir Dogs","word","word_19",2.86
"Reservoir Dogs","word","word_41",2.93
"Reservoir Dogs","word","word_24",3.05
"Reservoir Dogs","word","word_51",3.2
"Reservoir Dogs","word","word_30",3.4
"Reservoir Dogs","word","word_30",3.55
"Reservoir Dogs","word","word_30",3.7
"Reservoir Dogs","word","word_45",3.93
"Reservoir Dogs","word","word_45",3.98
"Reservoir Dogs","word","word_51",4.35
"Reservoir Dogs","word","word_51",4.76
"Reservoir Dogs","word","word_30",4.86
"Reservoir Dogs","word","word_19",5.25
"Reservoir Dogs","word","word_30",5.41
"Reservoir Dogs","word","word_30",5.51
"Reservoir Dogs","word","word_30",5.55
"Reservoir Dogs","word","word_30",5.61
"Reservoir Dogs","word","word_11",6.23
"Reservoir Dogs","word","word_24",6.46
"Reservoir Dogs","word","word_25",6.58
"Reservoir Dogs","word","word_31",6.66
"Reservoir Dogs","word","word_11",6.81
"Reservoir Dogs","word","word_30",6.86
"Reservoir Dogs","word","word_30",6.73
"Reservoir Dogs","word","word_7",7.38
"Reservoir Dogs","word","word_33",7.41
"Reservoir Dogs","word","word_33",7.58
"Reservoir Dogs","word","word_51",9.63
"Reservoir Dogs","word","word_30",9.96
"Reservoir Dogs","word","word_51",10.01
"Reservoir Dogs","word","word_30",10.08
"Reservoir Dogs","word","word_51",10.26
"Reservoir Dogs","word","word_33",11.13
"Reservoir Dogs","word","word_30",11.13
"Reservoir Dogs","word","word_30",11.85
"Reservoir Dogs","word","word_30",12.06
"Reservoir Dogs","word","word_30",12.08
"Reservoir Dogs","word","word_30",12.43
"Reservoir Dogs","word","word_30",12.45
"Reservoir Dogs","word","word_30",12.9
"Reservoir Dogs","word","word_30",13.73
"Reservoir Dogs","word","word_24",14.38
"Reservoir Dogs","word","word_30",14.66
"Reservoir Dogs","word","word_30",14.95
"Reservoir Dogs","word","word_30",15.38
"Reservoir Dogs","word","word_30",15.41
"Reservoir Dogs","word","word_51",15.45
"Reservoir Dogs","word","word_24",15.51
"Reservoir Dogs","word","word_24",15.65
"Reservoir Dogs","word","word_30",15.75
"Reservoir Dogs","word","word_25",15.86
"Reservoir Dogs","word","word_25",15.88
"Reservoir Dogs","word","word_25",15.93
"Reservoir Dogs","word","word_24",16.45
"Reservoir Dogs","word","word_46",16.6
